fra	nnb
Nous avons embarqué dans l'avion.	Muthuk'ingir'omo lisu.
Il est important que j'entende cela.	Nikyamuhungo ngonangowire ekyo.
Je ne pense pas que Tom l'ait fait exprès.	Sindengekenye Tom eribya  mwakakolherera.
Je ne veux pas en parler avec Tom.	Sinyanzire erikania kubio na Tom.
On dirait que tu as pleuré.	Alinga moghukalira.
Quand bien même il n'a que seize ans, il ne dépend pas de ses parents.	Mwali awithe emyaka ikumi nendathu, syalhiyitheka omo byalabyababuthi.
Tes chemises doivent être lavées.	Ebisomeko byaghu byanga fulhwa.
Vu comment Tom conduit, il finira par avoir un accident.	Eribya Tom akaghendaya engurubani, akandisyakolh'ekisida.
La nourriture refroidit.	Akalhyo kakuhirira.
Sa lettre me mit en colère.	Ekibabe kiwe mokyambithania.
Je vais essayer.	Ngandilhenga erilhebya.
C'est un petit problème.	Nimusango muke.
Marie était blessée.	Marie abya akwire.
Mon frère n'est pas à la maison.	Mughala wetu syalhyeka.
Vous qui entrez, abandonnez toute espérance.	Inywemukingira, mubirirawe erikirirya ryosi.
Quel genre de musiques est en vogue ces temps-ci ?	Kalhikilhiki kamuhanda wahi kokalhi lhino?
Finalement Jeanne n'a pas acheté ça.	Okondhulhia Jeanne mwathithaghula eki.
Il m'a surpris.	Mwakanzishiraya.
Pourquoi as-tu dit quelque chose d'aussi bête ?	Busanaki moghuka bugha ebindu ebyo bukiru ngebi ?
Ma mère ne sait pas du tout rouler en voiture.	Nyinya waghe syasi erifuha engurubani.
À quelle heure est ton premier cours ?	Ekikangirira ryahu ryenzuko nirya saha singahi ?
Cette règle ne souffre pas d'exceptions.	Omughamboyo syalhikwikethya.
Ma mère ne peut pas lire sans ses lunettes.	Nyinya waghe syasi erisoma butsira ekiļangıŗ́i.
Je viendrai.	Ngandyasa.
Si tu as un problème, j'aimerais savoir ce que c'est.	Wamabya ighunawithe olubanza, nganza nyiminye ngahowahi.
Elle parle de tout avec ses parents.	Akabugha oko byosi nababuthi biwe.
Je ne dois rien dire à Tom.	Sinanga bwira Tom yo kindu.
C'est trop compliqué pour moi.	Kikalhire okwinje.
Je ne sais pas vraiment ce qui se passait.	Sinyasi ebyabyabikalaba.
Ne me contredis pas ! Je sais ce qui est le mieux pour toi.	Sighunyikahakahanaye ! Nyinasi ekyo muhungo okwiwe.
Pourrais-tu cesser, je te prie ?	Wanamatsira ?
Le problème est que cela coûte trop cher.	Ekyo kikaghula omokathali akalhi endatha.
Ce pont n'est pas long.	Ekisokero eki sikiri.
Que vais-je ressentir ?	Ngandi yowa nyithi ?
Cet hôtel est à mon beau-frère.	Olhutheryolu nilwa bonde syaghe.
Cela appartient à Tom.	Ekyo nikya Tom.
Ils se sont tous arrêtés.	Abosi mobakimana.
Le chien est dans la maison.	Endegheteghe yine omo mbimbano.
Aimes-tu cette musique?	Ghunanzire akalikiliki ?
Je pensais qu'il serait fâché.	Indwengalhengekania ngwakandihitana.
Je ne peux dormir avec tout ce bruit.	Sinangayatho omo fuyo eyingana neyi.
Beaucoup d'étrangers parlent bien japonais.	Abagheni banzi bakabugha eki japonaiskyo ndeke.
Tom n'est pas encore levé.	Tom syalhya buka.
Il n'est pas tel qu'il paraît.	Syalhingoko akabya.
Elle disposait d'une radio.	Abya inyanawithe okokinimba.
Elle a demandé à la personne à la réception de lui passer ce numéro.	Mwaka bulaya omundu athiamuhe e numero munye.
Pouvez-vous nous montrer la maison ?	Wanganathukanzya enyumba ?
Je sais une chose, c'est que je ne sais rien.	Nyinasi ekindu kighuma, nibugha hathi sinyasi kindu.
Il se comporte comme s'il savait tout.	Akayiwatha nganasi ebyosi.
Êtes-vous sûr que nous fassions ce qu'il convient ?	Unalhengekenie ghuti thunasi ebyosi ebyo twanga kolhire.
Ils vont préparer une fête pour Sam.	Bakaya theghekania ekisendebele kya Sam.
J'ai besoin d'une paire de ciseaux.	Nyi layire oko kihembe.
Je faisais juste l'imbécile.	Nyilwe ngakola obunyama.
Tu devrais réfléchir avant de parler.	Wangatsukire walhengekanya embere ghubughe.
J'aurais dû voir ça venir.	Nangalangire kokikasa.
Tom portait des gants.	Tom abya ambithe ebikabisa ebyala.
Beaucoup d'étudiants vont en Europe pour étudier la musique.	Abigha banzi bakaya ebulaya erigha emilaghanguko.
Je n'avais d'autre choix que de le prendre au mot.	Sinabya ngwithe ekyonanganakola kulaba erimwimirya oko binywa.
Je pense qu'il est l'heure de manger.	Ngalhegekanaya nindambi yerirya.
Que pensez-vous de l'avenir ?	Ukalhengekanayaki okobikasa ?
Il le méritait.	Abyatholerekyo.
Peut-être devriez-vous faire ceci ensemble.	Alhinga mwangakolhireki kyohaghuma.
Avec un peu de chance, il n'y aura pas d'école demain.	Nolukogho luke, sihandisyabya ekiyiro omonzya.
Désolé de ma réponse tardive.	Munganyire okwithendisya subia luba.
C’est bon.	Kyowene.
C'est sérieux.	Nikyandundi.
Le temps n'aurait pu être meilleur.	Akathambi sikendi bya kabuya.
La bibliothèque est en train de fermer.	Ekisenge ekyebithabu kinemukinga.
Tu faisais seulement ton devoir.	Wabya omomwanyenda weriyiherera.
Je préfèrerais mourir que de me rendre.	Nabyanyiyithaghire oluholo omomwanyenda weriyiherera.
Elle a annulé le rendez-vous.	Abirighania endaghane.
Carol regarde souvent des films d'horreur.	Karoli akalhebaya kanzi kanzi ebisesani ebyobuba.
Elle se moquait de son mari.	Abia aka seka ibawiwe.
En été, il fait chaud.	Omughulu  we yikahulawamo été omo kifranza, hakabia ekihuhania.
Tom acheta quelque chose pour Marie.	Tom mwaghulira Maria yobindubighuma bighuma.
Elle ne put résister.	Syangasikire.
Je te prie de te conformer aux règles de l'école.	Ngakusaba eriyitheka nerisikya esyotholi esyekiyiro.
Tu aurais dû arriver plus tôt à la réception pour mon mariage.	Wangahikire emberere okokisendebele kye ndwa yaye.
On dansera ce vendredi.	Tukandisyasatha omo byáléngekánıá̧.
L'université est une perte de temps.	Ekiyiro ekyeyighulu niherya akathambi.
Une mouche est tout aussi susceptible d'atterrir sur une merde qu'elle le fera sur une tarte.	Enzuhere yanganahikira oko nyondiria agho yanganalhya.
Qui se soucie de ce qu'ils pensent?	Nindi yulhialhengekanaya okobyaka yitheghererayako ?
Tom savait où il avait mis ses clés.	Tom abya inyanasi aho abya athekire amakingulhi wiwe.
Il a été trois mois au front.	Myayire okomalwa omomikera isathu.
Je ne dis pas que ce n'est pas possible.	Sinyithabugha nyithi sibithokekene.
A-t-elle un piano ?	Anawithe ekyumano ekyehishimo ?
Je suis seulement moi.	Konyine kongonyine.
Nous avons beaucoup d'amis.	Thuwithe abira banzi.
Nous devons partir !	Twanganaghenda !
Y a pas comme une odeur bizarre ?	Sihali ngekikumbo ekyomuhanda ?
Je ne veux pas vivre comme ça.	Sinyangabiaho nyithya.
Vous pouvez m'excuser une minute ?	Ghunganyire omo dakika nguma ?
Tom n'aime pas la manière dont Marie traite Jean.	Tom syanzire emibere eyo Marie akalhemberamo Jean.
Je ferai tout ce qui est en mon possible.	Ngandi kola ekyosi ekyonangathoka.
Les enfants jouent dehors.	Abana bakasathira ehihya.
J'aime vos souliers.	Nyanzire ebiryatho byaghu.
Tu ferais mieux de t'en occuper.	Wangayirire ndeke uka kwamabyo.
Je suis sûr que votre fils reviendra sain et sauf.	Nyinyasi mughala wawe ngoko akandisya inyanaluyirirene.
Excusez-moi, mais je n'ai pas la monnaie.	Unganyire alhiwe singwithe noko lomia.
Ne mets pas tous tes œufs dans le même panier.	Sihuhire amayayaghu ghosi ghomo kithiri kighuma.
La ville se dresse au pied de la montagne.	Omuyi abiritsuka omomusya wekitwa.
Je sais qu'elle ignore qui je suis.	Nyinyasi ngoko syasi nganyirindi.
Je ne pense pas que j'irai aujourd'hui.	Sindengekenie nganghenda munabwire.
Tu ne dois pas t'en aller, à moins que tu ne le veuilles.	Siwangalhu ukaghenda, wamabya isighwanzire.
Tu empruntes un livre.	Ukayibweka ekithabu.
Elle portait un chapeau étrange.	Abyambithe esapwe eyitheyatharangikwa.
J'espère que tu sais que la dernière chose que je veuille faire est de te blesser.	Ngalhengekanaya unasi ekyaghe ekyendulhya ngoko nyanwire ina kuhuthalia.
Mon copain est journaliste.	Mwenzi waghe nimuthula ngulu.
La date limite s'approche.	Ekiro ekye ndulhia kikahika.
Comment puis-je vous joindre ?	Nangasungana naghu nyithi ?
C'est un magnifique dessin.	Nikisasamira ekyowene.
Je resterai à la maison.	Ngandisya sighala eka.
As-tu le moindre liquide ?	Unaghwite noko lomia ?
Ça ne me surprendrait pas.	Sikyanganzwekirye.
Tu as un brillant avenir.	Unawithe ekera eyuwene
Attention ! Quelqu'un pourrait nous entendre !	Koko ! Omundu anganathowa !
Celui qui se perd dans sa passion perd moins que celui qui perd sa passion.	Oyukaherera omongubu shiwe akaheraya bike kulhenga oyu kaheraya engumbu yiwe yosi.
Je sais que tu m'en veux.	Nyinasi kunyohiteneko.
Peux-tu me pardonner ?	Wangananganyira ?
Jane est très contente de son travail et n'a aucune envie de le quitter.	Jane atsemere omubiri wiwe nasyanzire erithalhyagho.
Faire ça est illégal ici.	Erikola eki hano nithendi sikya mighambo.
Il a averti l'enfant de ne pas jouer dans la rue.	Mwakanabwira omwana ngoko siritholere akasathira omongenda.
Tom fait du bon travail.	Tom akakola omubiri mubuya.
Vite, sors d'ici !	Ulwahano luba !
Ce mot lui est sorti de la bouche.	Ekinywa ekyo kyalwa omobuno bwiwe.
Quoi qu'il arrive, je veux que tu saches que je t'aime.	Mohangabyaki, nganza uminye konyikwanzire.
Pour dire la vérité, j'ai perdu ton stylo.	Erithabugh'ekwene, nabithalhya akasaki kaghu.
Elle ne revit jamais sa sœur.	Mwathasya sunga mwali wabo.
Après qu'il eut entendu la tragique nouvelle, il sortit dehors pour être seul.	Enyuma syeri owa omwatsi oghobulhighe, mwahulukira ehihya eriyabyayo iyuwene.
Je ne pourrais pas être plus heureux pour vous deux.	Sinangabatsemere inywebabiri.
Je sais que María est plus belle que moi.	Nyinasi ngoko Maria aghambire kunyi lhenga.
Tom veut vendre la ferme.	Tom asondire inyaghulhya obutsunga.
J'espère que ce n'est pas le cas.	Ngalhengekanaya kobithe bithya.
Ferme cette porte !	Hinda oluyolu !
Pourquoi êtes-vous tous si contents ?	Busanaki mutsemire okolulhengo olu ?
J'ai décidé de ne rien boire.	Mongayisoha eritendi nywa.
Mon copain aime les pâtes comme moi.	Omwenzi waghe anzire obundu nganzye.
J'ai quelque chose à manger.	Nangwithe kangaha akerirya.
Je n'ai pas besoin de ta pitié.	Sinyilahire okolukogho lwaghu.
Qui possède ce bateau ?	Nindi oyuwithe okoryatho munye ?
Il est resté assis là pendant deux heures.	Mwasighere inyikere aho omo ma sahabiri.
J'adore cette phrase.	Nyanzire omulhondo oyu.
Je viens d'avoir une conversation avec ton médecin.	Namabikania nomunganga wawe.
Tu vas rire.	Ukandiseka.
Je me suis levé à onze heures.	Mongabuka oko sahithanu.
Où est Boston ?	E Boston ni hayi ?
Nous échouerons.	Thukandi thaluka.
J'ai besoin de peinture.	Nyinalahire oko ranzi.
Je viens de dépenser plus de trois mille dollars.	Namabitsara bukanyia hakuhi bighonye bisathu ebyo syo ngohe.
J'étais à bout de souffle.	Nilwe inamahika okomuheryo.
Ma valise est pleine de papiers.	Erisanduku ryaghe riswiremo ebiratasi.
Fiche-nous la paix !	Thulhekeryobwiranda !
Suis-je sur la bonne voie ?	Nandi omo nzira ?
Nous l'apprécions.	Thukamushima.
Pourriez-vous trouver comment se rendre là-bas ?	Wanganasunga endengo eyeriyamo halya ?
Tom cuisine.	Tom akahuka.
Ça n'a rien à voir avec lui.	Sibimulhebirye.
Chaque question a une réponse.	Obulhibulhyo rinawithe erisubiryo.
Sais-tu ce que c'est ?	Unasinganiki ?
Nous n'arriverons en aucun cas à Londres avant la tombée de la nuit.	Sitwendi hika konahake e Londres embere omwirima awe ahisi.
Il voudrait devenir médecin.	Anzire inyasyabya muthahwa.
Je veux trouver pour Tom quelque chose de joli pour son anniversaire.	Ngandi ronderya Tom yekindu ekyuwene busana nomwebukyo bweributhwa riwe.
Elle a perdu ses clés de voiture.	Abya iniabiriherya amakinghuli we ngurubani.
Tu n'as pas faim ?	Sighukwire enzala ?
Meurtrier !	Mwithi !
Vous méritez une augmentation.	Utholere omongerio.
Je préférerais que vous veniez demain plutôt qu'aujourd'hui.	Nyilwenyanzire imwasa omonzya omomwanyenda wamunabwire.
Un écran séparait la pièce en deux.	Ebisasamira byabyabighabirwe ekitswekyo kabiri.
Il travaille toute la nuit.	Akatumik'omokiro kyosi.
Cela ne m'est pas venu à l'esprit.	Ekyo mokithithasa omobwenge bwaye.
Cet arbre a une circonférence de trois mètres.	Omuthyoyu awithe obuwene bwe metri sathu.
Tom croit qu'il sait tout.	Tom akalhengekanaya nganasi ebyosi.
Il n'habite plus ici.	Syakibuka hano.
Donnez-moi de l'eau !	Umba amaghetse !
Je n'aime pas que tu sois si occupé.	Sinyanzire ukabya ne mikolano minzi.
Prends des notes.	Imaya ebihandiko.
J'aurai trente ans dans deux semaines.	Ngandibya nemiaka makumiasathu omo mayenga awabiri.
Ne lui fais rien de mal !	Sighumukole nabi !
C'est tout ce qu'il a à faire.	Ebyosi ebyanga kola byebo.
Oscar était le chien de ma mère.	Oscar yabya ndeghetheghe yanyinya waghe.
Il est vrai qu'il eut tout bon à l'examen.	Nikwenene angabere ekinzame kyondeke.
C’est difficile d'avoir des idées géniales.	Kikhalire eribya namalhengekania amabuya.
Ne pas fumer.	Erithendi mothya.
La terre est bleue comme une orange.	Ekithaka nikyo mutheghule nge kighuma kyabukatsu.
Il gara sa voiture devant le bâtiment.	Nerio mwatheka engurubani yiwe ye mbere sye mbimbano.
C'est hors de question.	Kobithe bithia.
Elle semble être en difficulté, dites-lui ce qu'il faut faire.	Akabya ngalhi omomaligho, mubwire ekyangakola.
N'oublie pas d'apporter un parapluie.	Sighubirirawe erilhetha ehema.
C'est un piège !	Nikithegho !
Ne bouge pas !	Sighuthengeme !
Je déteste les flics tels que lui.	Ngapona abasamba ngiye.
J'ai reçu votre lettre hier.	Monasungire enzakano yaghu yomulhigholo.
Quand s'est-elle mariée ?	Alhunga mughulu wahi ?
Je n'aime pas les gens.	Sinyanzire abandu.
Tom n'a pas pu répondre à mes questions.	Tom syathasubirya okomabulhyo waghe.
Je veux que tu trouves ta propre piaule.	Nganza usunge  ekisenge kyaghukyaghu.
Il n'est pas bon de manger entre les repas.	Sibyowene erilhwa omokathi akebyalhya.
Je pense que cette chemise ne va pas bien avec une cravate rouge.	Ngalhengekanaya eki somekweki sikyeghendanganaya nakaruvante akeranzi eye ngwindishi.
Je sais qu'il est très improbable que j'arrive à te convaincre que tu as tort.	Nyasi ndeke ngoko bitholhere ina kulhighisya ngoko wabiri kol'ekosa.
Je mets un pull-over.	Ngambala omupira.
Nous en sommes tous certains.	Thunalighire ndeke.
Prends-en deux.	Imaya heyibiri.
Marchez un peu tous les jours.	Ghenda hake bulhikiro.
J'entends souvent mes voisins se disputer.	Ngowa kanzi kanzi abahimbani baghe bakasokongolana.
Votre anniversaire arrive bientôt.	Hathya omwebukyo weributhwa ryaghu akehika.
C'est facile de se perdre.	Kyolobire eriyiheria.
Vous ne m'aviez pas dit que vous étiez docteur.	Moghuthithambwira koghuli muthawa.
Est-ce que ça a sonné ?	Mokikana bughaya ?
On ne le découvrira pas.	Sikyendifumbulhwa.
Je me sentais seul.	Indwe ngayoya inyowene.
Ils n'ont pas remarqué l'augmentation du bruit.	Sibathafumbulha ngoko olukanda lunemubya lunzi ?
Le français de Tom s'améliore.	Ekifranza kya Tom kinemuyikomererya.
Vous devez prendre la deuxième rue à droite.	Ukandilaba omongenda eyakabiri okomalhembe.
Nous devons nous débrouiller avec ce que nous avons.	Twangayayi sulubirira omokake thuwithe.
Nous sommes ses enfants.	Thulibana biwe.
Est-ce que ces médicaments agissent sur l'estomac ?	Emibatsi eyi yikanawathikaya oko kihu?
Rends-moi mon stylo.	Umba ekisako kyaghe.
Je veux ce fruit.	Nyanzire ekihuma eki.
Comment va tout le monde ?	Abandu banuwene ?
J'ai rencontré une vieille femme.	Mongasunga omukekulu.
C'est une fourchette.	Nikiryamo.
Bonjour, chérie ! Pourquoi es-tu encore au lit ? Es-tu malade ?	Kuthi, mwanzi waghe ! Busanaki ukine omwiseso ? Ghulwere ?
Une autre guerre et nous serons tous morts.	Awandi malwa nitwebosi thukandi hola.
Tom vit-il ici avec vous ?	Tom akabuka hano nenyu ?
Une histoire raconte que si la pièce de monnaie est ronde c'est pour lui permettre de rouler d'un endroit à l'autre.	Ehistoria yikabugha yithi olusende lwamabyo kiringo ihakabugha hati lwangana ghenda lukalwa okolundi lukalwa okolundi luhande erisokera okolundi.
Elle est désormais une femme.	Eritsuka hathya, nimwana ghobuhakali.
Je me souviendrai de vous pour toujours.	Ngandisya kwebuka kanzikanzi.
J'ai beaucoup mangé ce matin.	Mongalhya binzi omonzakya ngakyeno.
Est-ce ta fille ?	Nimwalhi waghu ?
Thomas ne vit jamais quelque loup que ce fût, mais il put les entendre.	Thomas isyalhi athalangira endeghetheghe eyomomushithu, alhiwe mwanowasyo.
Laissez-moi appeler mon avocat !	Lhekanyibirike omusosi waghe !
Je ne peux pas l'appeler.	Sinangamubiririka.
Je vais nager environ deux fois par semaine.	Ngandi dilha hakuhi ngendo kabiri okoyenga.
Je vois un garçon.	Namalangira omulwana.
Tom sera jaloux.	Tom akasyabya mutsibu.
J'ai un peu froid.	Namakwembeho.
Quand l'as-tu découvert ?	Ghulya fumbulhyakyo mughulu wahi ?
Je ne sais pas ce qu'il essaye de dire.	Sinyasi ekyalhalhenga eribugha.
Tom ne fait rien de mal.	Tom syalhikola ekitsibu.
Qui t'a dit de m'emmener ici ?	Oyulhya bugha athi undethehanonindi ?
Tom n'a pas pu emprunter autant d'argent qu'il le fallait.	Tom mwathithasya bweka olusende lungaha ngoko byangabere.
L'alcool et le tabac sont tous deux mauvais pour la santé.	Obwasoma ne thaba nibindu bibiri ebithowene okwibyaho.
Elle en sait davantage qu'elle admet.	Anasibyondeke ngoko angalhighirebyo.
Je regrette de ne pouvoir t'aider.	Namasweka kosinyithakuhamba.
Le chapeau est-il à la bonne taille ?	Esapwe yina komirye ndeke ?
Je vais à la piscine.	Ngaya okongetse.
C'est bien pourquoi tu m'en diras tant.	Kyowene busanaki ghukandi mbwira binzi.
Attention ! Voici un camion qui arrive !	Yitheghereraya ! Engurubani ikasa !
Nous ne sommes pas comme ça.	Sithuli thuthya.
J'apprécie vos efforts pour m'aider.	Namatsemera akaghala kaghu ukangwathikya.
Tu devrais travailler dans l'intérêt de l'humanité.	Wangakolhere omubiri busana nendundi eyekihugho.
Tout a été volé.	Ebyosi byabiribwa.
Merci pour les belles fleurs.	Wasingya oko mawa mabuya.
Ils se sont tous moqués de son erreur.	Abosi mobaka sekera erilolo riwe.
Une vieille dame traverse la route.	Omukekulu mughuma anemikiruka engenda.
Je n'ai pas beaucoup d'argent.	Singwithe lusende lunzi.
Pourquoi te sens-tu ainsi ?	Busanaki wamayiwamayowa ghuthya ?
À part son caractère, elle est très bien.	Erilusyakyo emibere yiwe, ninaghobuthekerere.
J'espère qu'il va arrêter de pleuvoir.	Ngalhengekanaya kwembula yikasonderikya.
J'espère que tous vos rêves s'incarneront.	Alhing'esyo nzoli syaghu sikandisya hika.
