fra	swc	swc_clean
Quel jour es-tu libre habituellement ?	Unazowea kuwa huru siku gani?	Unazowea kuwa huru siku gani?
Quelle perte !	Iyi ni hasara!	Iyi ni hasara!
Est-ce que Thomas a un vélo ?	Je! Thomas iko na kinga?	Je! Thomas iko na kinga?
L'argent n'est pas tout.	Pesa siyo kila kitu.	Pesa siyo kila kitu.
L'opération a eu lieu hier.	Shughuli (opération) ilifanyika jana.	Shughuli ilifanyika jana.
Est-ce que tu as bu beaucoup ?	Je! Ulikunywa pombe sana?	Je! Ulikunywa pombe sana?
Qui est le monsieur auquel il parle ?	Ni bwana gani njo iko naongea?	Ni bwana gani njo iko naongea?
Je ne suis plus jeune, mais je peux encore mordre.	Miye siko tena mtoto mdogo alakini minaweza luma.	Miye siko tena mtoto mdogo alakini minaweza luma.
Je ne peux pas être ami avec Tom.	Siwezi kua rafiki ya Tom.	Siwezi kua rafiki ya Tom.
T'es sérieux, non ?	Uko sérieux, si ndiyo?	Uko sérieux, si ndiyo?
C'est un oiseau de nuit.	Ni ndege ya busiku.	Ni ndege ya busiku.
« Parles-tu le grec ? » - « Pas encore, c'est ma première leçon ! »	"""Unaongea Kigiriki?""  - ""Bado, ni somo yangu ya kwanza!"" »"	"""Unaongea Kigiriki?""  - ""Bado, ni somo yangu ya kwanza!"" »"
Je voulais savoir d'où la voix provenait.	Nilikuwa nataka kujua sauti ilikua natoka wapi.	Nilikuwa nataka kujua sauti ilikua natoka wapi.
Je ne veux plus causer de souci à personne.	Sitaki kusumbua mutu tena.	Sitaki kusumbua mutu tena.
Il y a une rumeur selon laquelle Tom est gay.	Kuna habari isiyo kuwa na uhakikisho yenye kusema kama Tom ni shoga (homosexuel).	Kuna habari isiyo kuwa na uhakikisho yenye kusema kama Tom ni shoga.
Communiquer des nouvelles à la télévision et à la radio est très courant de nos jours.	Kupitisha habari ku télévision na ku redio ni jambo ya kawaida siku hizi.	Kupitisha habari ku télévision na ku redio ni jambo ya kawaida siku hizi.
Dan semblait être un suspect probable.	Dan alionekana kuwa mtuhumiwa (suspect).	Dan alionekana kuwa mtuhumiwa.
Tom n'a pas beaucoup aimé le concert.	Tom hakupenda sana ile concert.	Tom hakupenda sana ile concert.
Je pense qu'il va pleuvoir bientôt.	Minawaza kama mvula itanyesha mu saa zenye zinakuya.	Minawaza kama mvula itanyesha mu saa zenye zinakuya.
J'achetais beaucoup de choses.	Nilikua nauza bitu mingi.	Nilikua nauza bitu mingi.
Il y a quelques bons films cette semaine?	Je! Kuna sinema za muzuri iyi juma?	Je! Kuna sinema za muzuri iyi juma?
Elle tenait un parapluie.	Alikua nakamata mwamvuli.	Alikua nakamata mwamvuli.
C'est difficile à croire.	Ni bigumu kuamini.	Ni bigumu kuamini.
J'ai une douleur à la poitrine.	Kifua iko naniluma.	Kifua iko naniluma.
J'ai déjà lu tous les livres d'Harry Potter.	Nilisha soma bitabu yote ya Harry Potter.	Nilisha soma bitabu yote ya Harry Potter.
Venez avec moi, je vous prie.	Nifuate, tafazali.	Nifuate, tafazali.
Allez-vous en ! Je ne veux pas vous parler !	Wende huko (Toka hapo)! Sitaki kukuongelesha!	Wende huko! Sitaki kukuongelesha!
Le problème est qu'elles ne pensent qu'à elles.	Shida ni kwamba wanajipendelea tu.	Shida ni kwamba wanajipendelea tu.
Sa théorie est difficile à comprendre.	Mtazamo (wazo) yake iko nguvu kuelewa.	Mtazamo yake iko nguvu kuelewa.
Tu n'as rien à craindre.	Usiogope kitu.	Usiogope kitu.
Nous reste-t-il de la bière ?	Kungali pombe bado ?	Kungali pombe bado ?
Mon père ne dit rien.	Baba yangu hasemi kitu.	Baba yangu hasemi kitu.
Tom m'a montré sa chambre.	Tom alinionesha chumba yake.	Tom alinionesha chumba yake.
Ses cheveux cachaient son visage.	Nywele zake zilikua naficha sura yake.	Nywele zake zilikua naficha sura yake.
Cette salle peut accueillir deux mille personnes.	Watu elfu mbili wanawaza enea mwa iyi ukumbi (salle).	Watu elfu mbili wanawaza enea mwa iyi ukumbi.
Il vous faudra le faire par vous-même.	Itabidi uifanye wepeke.	Itabidi uifanye wepeke.
Je ne crois pas que les choses changent.	Sizani kama mambo itabadilika.	Sizani kama mambo itabadilika.
Cela fait longtemps que j'attends.	Nilishafanya muda murefu minangoa.	Nilishafanya muda murefu minangoa.
Mon conseil n'a pas été suivi.	Shauri yangu haikufuatwa.	Shauri yangu haikufuatwa.
J’ai tendance à regarder les images avant de lire le texte.	Miye naangaliaka picha mbele ya kusoma maandishi.	Miye naangaliaka picha mbele ya kusoma maandishi.
Où cette pièce va-t-elle ?	Upana ya iyi nyumba inaishia wapi?	Upana ya iyi nyumba inaishia wapi?
Je veux tous vous remercier d'être venus ici aujourd'hui.	Nataka kuwashukuru nyiye bote kwa kufika hapa leo.	Nataka kuwashukuru nyiye bote kwa kufika hapa leo.
Nous allons essuyer une tempête.	Tutapambana na zoruba.	Tutapambana na zoruba.
Il demanda de l'aide à ses amis.	Akalomba musaada ku barafiki yake.	Akalomba musaada ku barafiki yake.
Je l'ai déjà fait.	Nilisha ifanya.	Nilisha ifanya.
Ce que tu ignores ne peut te faire de mal.	Kyenye haujui hakiwezi kukusumbua.	Kyenye haujui hakiwezi kukusumbua.
Les enfants doivent obéir à leurs parents.	Watoto wanapashwa heshimu wazazi wao.	Watoto wanapashwa heshimu wazazi wao.
Quel gros gâteau !	Ni keki ya mukubwa sana!	Ni keki ya mukubwa sana!
Tom a gagné le concours.	Tom alishinda shindano (concours).	Tom alishinda shindano.
Il faut que cela soit corrigé.	Ile inapashwa kosolewa.	Ile inapashwa kosolewa.
Accepteriez-vous ces conditions ?	Utakubali iyi masharti?	Utakubali iyi masharti?
Pourriez-vous fermer la porte, s'il vous plaît ?	Unaweza funga mulango, tafazali?	Unaweza funga mulango, tafazali?
Les gens qui jouent dans la boue auront leurs mains sales.	Batu benye banacheza mu matope mikono yabo ita chafuka.	Batu benye banacheza mu matope mikono yabo ita chafuka.
N'essaye pas de jouer le héros maintenant.	Usijaribu kuwa shujaa sasa.	Usijaribu kuwa shujaa sasa.
Tout espoir a disparu.	Matumaini yote ilipotea.	Matumaini yote ilipotea.
Avez-vous oublié votre argent ?	Ulisahabu pesa (franga) yako?	Ulisahabu pesa yako?
Elle me demanda d'aller la chercher à la gare.	Aliniambia niende mukamata ku kituo ya (gari, train, etc).	Aliniambia niende mukamata ku kituo ya.
Je suis resté alité toute la journée d'hier.	Jana nilishinda mu kitanda siku mzima.	Jana nilishinda mu kitanda siku mzima.
Garde un œil sur Tom.	Muchunge Tom muzuri.	Muchunge Tom muzuri.
Pas encore !	Bado!	Bado!
Nous viendrons te chercher.	Tutakuya kutafuta.	Tutakuya kutafuta.
Tu es trop jeune encore pour obtenir un permis de conduire.	Umri yako aiya kuruhusu kupata kitambulisho ya kutembeza gari (permis de conduire).	Umri yako aiya kuruhusu kupata kitambulisho ya kutembeza gari.
Votre père est-il médecin ?	Baba yako ni muganga (daktari)?	Baba yako ni muganga?
Il a mangé du riz deux fois par jour pendant de nombreuses années.	Alikula wali mara mbili kwa siku mu kipindi ya miaka mingi.	Alikula wali mara mbili kwa siku mu kipindi ya miaka mingi.
Vous devez arrêter de faire ça sur-le-champ.	Unapashwa acha kufanya hivi sasa.	Unapashwa acha kufanya hivi sasa.
D'après ce que je sais, ils n'ont pas d'enfants.	Kwa ginsi minajua, habana batoto.	Kwa ginsi minajua, habana batoto.
Tom a fait des erreurs graves.	Tom alifanya makosa kubwa sana.	Tom alifanya makosa kubwa sana.
T'as de jolies jambes.	Uko na migulu ya muzuri sana.	Uko na migulu ya muzuri sana.
Ce n'est pas un problème.	Hakuna shida.	Hakuna shida.
Je suis le seul à ne pas être tombé dans le piège.	Miye tu njo sikuanguka mu mutego.	Miye tu njo sikuanguka mu mutego.
Je vous demande pardon ?	Minakulomba musamaha.	Minakulomba musamaha.
Es-tu en train de tomber amoureux de moi ?	Je! Unaanza nipenda ?	Je! Unaanza nipenda ?
C'est une table.	Ni meza.	Ni meza.
Pourquoi avez-vous écrit ce livre ?	Kwa nini uliandika iyi kitabu?	Kwa nini uliandika iyi kitabu?
J'étais toujours différent.	Nilikua tafauti kila mara.	Nilikua tafauti kila mara.
Le monsieur sait mieux lui-même la valeur de sa propre vie.	Huyu bwana anajua yepeke samani ya maisha yake.	Huyu bwana anajua yepeke samani ya maisha yake.
Attends ici. Je reviendrai bientôt.	Chungia hapa. Ndarudia mu saa kidogo.	Chungia hapa. Ndarudia mu saa kidogo.
Je l'ai rencontrée il y a une heure.	Nilikutana naye saa kunapita saa moya.	Nilikutana naye saa kunapita saa moya.
Il est soit fou, soit drogué.	Yeye ni mwendabazimu ao alitumia madawa ya kulevya.	Yeye ni mwendabazimu ao alitumia madawa ya kulevya.
Ma famille a vécu ici pendant vingt ans.	Familia yangu iliishi apa miaka makumi mbili.	Familia yangu iliishi apa miaka makumi mbili.
Je suis beaucoup plus jeune que Tom.	Niko mdogo sana kushinda Tom.	Niko mdogo sana kushinda Tom.
Cette femme sait précisément qu'elle ne sait pas ce qu'elle veut.	Huyu mwanamuke anajua kabisa kama hajui kyenye anataka.	Huyu mwanamuke anajua kabisa kama hajui kyenye anataka.
Je voudrais boire quelque chose de chaud.	Nataka kunywa kitu ya moto.	Nataka kunywa kitu ya moto.
Il était presque noyé.	Alikuwa karibu ya kuzama.	Alikuwa karibu ya kuzama.
Dis bonjour à ta femme de ma part, s'il te plaît.	Salimia muke wako kwa niaba yangu, tafazali.	Salimia muke wako kwa niaba yangu, tafazali.
Est-ce que Tom va bien ?	Tom iko sawa ?	Tom iko sawa ?
Ne lui parle pas comme ça.	Usimuongeleshe vile.	Usimuongeleshe vile.
Je ne suis pas bien réveillé ce matin.	Sikulamuka muzuri leo.	Sikulamuka muzuri leo.
Elle en a une : dans le cœur du peuple chinois.	Iko na moya : katika roho ya wachina.	Iko na moya : katika roho ya wachina.
Tu vas le casser si tu ne fais pas attention.	Usipokuwa mwangalifu utaivunja.	Usipokuwa mwangalifu utaivunja.
Je serais malheureux, mais je ne me suiciderais pas.	Ningekuwa munyonge, alakini nisingejiua.	Ningekuwa munyonge, alakini nisingejiua.
Il se fait une règle d'écrire dans son journal tous les jours.	Alijiwekea kanuni ya kuandika mu journal yake kila siku.	Alijiwekea kanuni ya kuandika mu journal yake kila siku.
S'il te plaît, dis-moi que c'est dingue !	Tafazali, niambie kama hiyi haiko kitu ya kawaida !	Tafazali, niambie kama hiyi haiko kitu ya kawaida !
L'agent de service m'a aidé à résoudre mon problème.	Ule mfanyakazi alinisaidia kutatua shida yangu.	Ule mfanyakazi alinisaidia kutatua shida yangu.
Excusez-moi, combien cela coûte ?	Samahani, inauzishwa ngapi ?	Samahani, inauzishwa ngapi ?
Dois-tu faire ça à chaque fois ?	Ni lazima ufanye ivyo kila mara ?	Ni lazima ufanye ivyo kila mara ?
Elle parle bien.	Anaongea vizuri.	Anaongea vizuri.
Tu me manques beaucoup.	Minakukumbuka sana.	Minakukumbuka sana.
Je travaille de nuit.	Minatumika busiku.	Minatumika busiku.
J'ai repris l'entreprise de Père.	Nilianza shimamia biashara (entreprise) ya Baba.	Nilianza shimamia biashara ya Baba.
J'ai vraiment passé du bon temps.	Nilipitisha wakati muzuri sana kabisa.	Nilipitisha wakati muzuri sana kabisa.
Comme c'est dégueulasse !	Inachukiza sana!	Inachukiza sana!
Je n’ai rien entendu.	Sikusikia chochote.	Sikusikia chochote.
Quelle bonne idée !	Ni wazo nzuri sana!	Ni wazo nzuri sana!
Je ne ferais jamais quelque chose comme ça.	Siwezi kufanya kitu ya vile ata siku moja.	Siwezi kufanya kitu ya vile ata siku moja.
Tom regrette de ne pas être allé au théâtre hier.	Tom anajuta kustokwenda kwenye salle ya michezo ya kuigiza jana.	Tom anajuta kustokwenda kwenye salle ya michezo ya kuigiza jana.
Il vient d'arriver.	Anafika sai.	Anafika sai.
J'attends qu'il m'aide.	Minachunga anisaidie.	Minachunga anisaidie.
La vie est parfois étrange.	Wakati mwingine maisha haieleweki.	Wakati mwingine maisha haieleweki.
Quelqu'un a-t-il eu mal ?	Kuna mtu aliumia?	Kuna mtu aliumia?
Connais-tu quelqu'un sachant parler français ?	Je, unajua mtu mwenye anaweza zungumza Kifaransa ?	Je, unajua mtu mwenye anaweza zungumza Kifaransa ?
Il a marché dans le parc hier.	Alitembea mu jardin public (parc) jana.	Alitembea mu jardin public jana.
Je ressentis une douleur soudaine au côté.	Nilisikia maumivu ya ghafla mu mbavu.	Nilisikia maumivu ya ghafla mu mbavu.
À cause de la pluie, nous n'avons pas pu jouer au tennis à l'extérieur.	Hatukuweza kucheza tenisi inje juu ya mvula.	Hatukuweza kucheza tenisi inje juu ya mvula.
J'ai perdu mon inspiration.	Nilipoteza wazo yenye nilitaka toa.	Nilipoteza wazo yenye nilitaka toa.
Il était parfaitement détendu et n'opposa aucune résistance mais me lança un regard si hideux que cela me fit transpirer à grosses gouttes.	Alikuwa amerizika kabisa na hakupinga hata kitu alakini aliniangalia na licho ya mubaya mpaka nikasikia boga sana.	Alikuwa amerizika kabisa na hakupinga hata kitu alakini aliniangalia na licho ya mubaya mpaka nikasikia boga sana.
J'aimerais que tu n'aies pas à y aller.	Ningependa usilazamishwe kwenda eko.	Ningependa usilazamishwe kwenda eko.
Nous avons embarqué dans l'avion.	Tulipanda mu avion.	Tulipanda mu avion.
Il est important que j'entende cela.	Ni muhimu nisikie iyi.	Ni muhimu nisikie iyi.
Je ne pense pas que Tom l'ait fait exprès.	Sizani kama Tom alifanya hivyo kwa makusudi.	Sizani kama Tom alifanya hivyo kwa makusudi.
Je ne veux pas en parler avec Tom.	Sitaki niuzungumzie na Tom.	Sitaki niuzungumzie na Tom.
On dirait que tu as pleuré.	Iko saa ulilia.	Iko saa ulilia.
Quand bien même il n'a que seize ans, il ne dépend pas de ses parents.	Japokuwa iko miaka kumi na sita tu, hategemei wazazi wake.	Japokuwa iko miaka kumi na sita tu, hategemei wazazi wake.
Tes chemises doivent être lavées.	Mashati zako zinahitaji kufuliwa.	Mashati zako zinahitaji kufuliwa.
Vu comment Tom conduit, il finira par avoir un accident.	Ukiangalia ginsi Tom anatembeza, mwisho na mwisho atapata ajali.	Ukiangalia ginsi Tom anatembeza, mwisho na mwisho atapata ajali.
La nourriture refroidit.	Chakula iko napata baridi.	Chakula iko napata baridi.
Sa lettre me mit en colère.	Barua yake ilinisirikisha.	Barua yake ilinisirikisha.
Je vais essayer.	Ndajaribu.	Ndajaribu.
C'est un petit problème.	Ni shida kidogo.	Ni shida kidogo.
Marie était blessée.	Maria alilumia.	Maria alilumia.
Mon frère n'est pas à la maison.	Kaka yangu aiko nyumbani.	Kaka yangu aiko nyumbani.
Vous qui entrez, abandonnez toute espérance.	Nyiye benye munaingia, mukate matumaini yote.	Nyiye benye munaingia, mukate matumaini yote.
Quel genre de musiques est en vogue ces temps-ci ?	Je, ni aina gani ya muziki inavuma sana siku hizi ?	Je, ni aina gani ya muziki inavuma sana siku hizi ?
Finalement Jeanne n'a pas acheté ça.	Jeanne akuiuza tena.	Jeanne akuiuza tena.
Il m'a surpris.	Alinishangaza.	Alinishangaza.
Pourquoi as-tu dit quelque chose d'aussi bête ?	Juu ya nini ulisema kitu kijinga sana?	Juu ya nini ulisema kitu kijinga sana?
Ma mère ne sait pas du tout rouler en voiture.	Mama yangu hawezi tembeza gari hata kidogo.	Mama yangu hawezi tembeza gari hata kidogo.
À quelle heure est ton premier cours ?	Darasa (cours) yako ya kwanza ni saa ngapi ?	Darasa yako ya kwanza ni saa ngapi ?
Cette règle ne souffre pas d'exceptions.	Piko hiyi sheria haifati masharti ya kipee.	Piko hiyi sheria haifati masharti ya kipee.
Ma mère ne peut pas lire sans ses lunettes.	Mama yangu hawezi kusoma bila kuvala matalatala (lunettes) zake.	Mama yangu hawezi kusoma bila kuvala matalatala zake.
Je viendrai.	Nitakuya.	Nitakuya.
Si tu as un problème, j'aimerais savoir ce que c'est.	Kama uko na shida, ningependa kujua ni nini.	Kama uko na shida, ningependa kujua ni nini.
Elle parle de tout avec ses parents.	Anazungumzia kila kitu na wazazi wake.	Anazungumzia kila kitu na wazazi wake.
Je ne dois rien dire à Tom.	Sina deni ya Tom.	Sina deni ya Tom.
C'est trop compliqué pour moi.	Ni bigumu sana kwangu.	Ni bigumu sana kwangu.
Je ne sais pas vraiment ce qui se passait.	Sijui nini njo ilikuwa naendelea.	Sijui nini njo ilikuwa naendelea.
Ne me contredis pas ! Je sais ce qui est le mieux pour toi.	Usinipinge! Najua kile kinachofaa kwako.	Usinipinge! Najua kile kinachofaa kwako.
Pourrais-tu cesser, je te prie ?	Je, unaweza kusimama, tafazali?	Je, unaweza kusimama, tafazali?
Le problème est que cela coûte trop cher.	Shida ni kwamba iko beyi sana.	Shida ni kwamba iko beyi sana.
Ce pont n'est pas long.	Iyi kilalo aiko ya murefu.	Iyi kilalo aiko ya murefu.
Que vais-je ressentir ?	Nitasikia nini?	Nitasikia nini?
Cet hôtel est à mon beau-frère.	Iyi hoteli ni ya shemeki yangu.	Iyi hoteli ni ya shemeki yangu.
Cela appartient à Tom.	Ni ya Tom.	Ni ya Tom.
Ils se sont tous arrêtés.	Wote walisimama.	Wote walisimama.
Le chien est dans la maison.	Imbwa iko ndani ya nyumba.	Imbwa iko ndani ya nyumba.
Aimes-tu cette musique?	Je, unapenda iyi muziki (nyimbo) ?	Je, unapenda iyi muziki?
Je pensais qu'il serait fâché.	Nilizani kama atasirika.	Nilizani kama atasirika.
Je ne peux dormir avec tout ce bruit.	Siwezi kulala mwa iyi fujo yote.	Siwezi kulala mwa iyi fujo yote.
Beaucoup d'étrangers parlent bien japonais.	Bageni bengi banazungumza Kijapani vizuri.	Bageni bengi banazungumza Kijapani vizuri.
Tom n'est pas encore levé.	Tom bado hayalamuka.	Tom bado hayalamuka.
Il n'est pas tel qu'il paraît.	Aiko kama vile inaonekana.	Aiko kama vile inaonekana.
Elle disposait d'une radio.	Alikuwa na redio.	Alikuwa na redio.
Elle a demandé à la personne à la réception de lui passer ce numéro.	Aliomba mtu wa ku réception iyi numéro.	Aliomba mtu wa ku réception iyi numéro.
Pouvez-vous nous montrer la maison ?	Je, unaweza kutuonesha nyumba?	Je, unaweza kutuonesha nyumba?
Je sais une chose, c'est que je ne sais rien.	Kitu moya yenye minajua ni kwamba sijui kitu.	Kitu moya yenye minajua ni kwamba sijui kitu.
Il se comporte comme s'il savait tout.	Anajifanya saa mwenye anajua kila kitu.	Anajifanya saa mwenye anajua kila kitu.
Êtes-vous sûr que nous fassions ce qu'il convient ?	Je, uko na uhakika kama tuko nafanya kitu sahihi?	Je, uko na uhakika kama tuko nafanya kitu sahihi?
Ils vont préparer une fête pour Sam.	Watapanga sherehe ya Sam.	Watapanga sherehe ya Sam.
J'ai besoin d'une paire de ciseaux.	Minahitaji ciseaux.	Minahitaji ciseaux.
Je faisais juste l'imbécile.	Nilikuwa najifanya sawa vile mpumbavu.	Nilikuwa najifanya sawa vile mpumbavu.
Tu devrais réfléchir avant de parler.	Unapashwa kufikiria mbele ya kusema.	Unapashwa kufikiria mbele ya kusema.
J'aurais dû voir ça venir.	Nilipashwa kuiona inakuya.	Nilipashwa kuiona inakuya.
Tom portait des gants.	Tom alikuwa anavala kinga ya mikono (gants).	Tom alikuwa anavala kinga ya mikono.
Beaucoup d'étudiants vont en Europe pour étudier la musique.	Wanafunzi wengi wanaendaka Ulaya kusoma muziki.	Wanafunzi wengi wanaendaka Ulaya kusoma muziki.
Je n'avais d'autre choix que de le prendre au mot.	Sikuwa na namna ingine isopokuwa kukamata maneno yake kama vile mtani.	Sikuwa na namna ingine isopokuwa kukamata maneno yake kama vile mtani.
Je pense qu'il est l'heure de manger.	Nazani ni wakati wa kula.	Nazani ni wakati wa kula.
Que pensez-vous de l'avenir ?	Je, unafikiria nini kuhusu maisha ya baadae ?	Je, unafikiria nini kuhusu maisha ya baadae ?
Il le méritait.	Alihistahili.	Alihistahili.
Peut-être devriez-vous faire ceci ensemble.	Labda mungepashwa kufanya hivyo pamoja.	Labda mungepashwa kufanya hivyo pamoja.
Avec un peu de chance, il n'y aura pas d'école demain.	Tunawaza kama hakutakuwa masomo kesho.	Tunawaza kama hakutakuwa masomo kesho.
