fra	lin
Bien qu'il ne fût qu'un enfant, il était très courageux.	Atako azalaki kaka mwana moke, azalaki na piko makasi.
Regarde ces nuages noirs.	Tala mapata muhindo oyo.
Pourquoi les hommes ne sont-ils jamais heureux ? Parce qu'ils veulent toujours l'impossible.	Pona nini batu bazalaka na esengo te? Po ete balingaka tango nyonso makambo maye makoki kosalama te.
On est ici, à l'office de tourisme. Vous voyez ?	Tozali awa, na esika ya bayangeli ya tourisme. Bomoni?
Il est revenu du Canada.	Awuti Canada.
Ils sont en salle des professeurs.	bazali na ndako ya balakisi.
Nous y allons seuls.	Tozokende biso moko.
Mon front brûlait de fièvre.	Moto nangayi ekomaki moto na fièvre.
Dan a été vu pour la dernière fois avec un jean bleu et une veste en cuir noir.	Dan amonanaki mbala ya liboso na bilamba ya bule mpe kazaka ya mposo ya nyama ya langi ya mohindo.
Elle vivait la porte à côté de chez nous.	Azalaki ko vanda na ndako oyo ezali pembeni na biso.
Sa mère a frappé à la porte.	Mama naye abetaki na ekuke.
Je ne peux pas l'abandonner.	Nakoki kotika ye te.
Nous n'avons aucune raison d'avoir honte.	Tozali na tina moko te ya koyoka soni.
À sept heures je serai de nouveau là.	Na konga ya sambo na tongo nakozala lisusu wana.
Elle n'est plus seule maintenant.	Ajali lisusu yemoko te sikaawa.
Nous tînmes parole.	Tokokisaka maloba nabiso.
Qu'est-ce qui se passe, ici ?	Nini azali koleka awa?
L'as-tu fait toi-même ?	Osalaki yango yomoko?
C'est la vie.	Ezali bomoyi.
Oh ! c'est trop mignon !	Oh! Ezali kitoko mingi!
Je n'ai pas envie de rentrer à la maison!	Nazali na posa ya kozonga ndaku te!
Je ne savais pas que Tom dormait.	Nayebaki te ete Tom azalaki kolala.
De quoi avez-vous peur ?	Ozo banga nini?
Dans cette boîte, je me sentais comme un poisson hors de l'eau.	Nakati ya nganda wana, nazalaki komiyoka lokola mbisi libanda ya ebale.
Je pense que Tom est blessé.	Namoni lokola Tom azokisami.
La vie est dure pour tout le monde.	Bomoyi ezali makasi pona moto nyonso.
J'ai peur des ours.	Na bangaka ba ngombolo.
Elle a remporté le premier prix de la course.	Alongi motuya ya liboso ya lisano.
J'ai du travail par-dessus la tête.	Nazali na misala maleki ngayi moto.
N'as-tu pas une réunion ?	Ozali na liyangani te?
Monte le son de la musique !	Matisa mongongo ya musiki!
Tu vas manquer le train si tu ne te dépêches pas.	Okozanga engbunduka soki osali mbangu te.
Non, ça ne me plait pas tant que ça.	Te, ezali kosepelisa ngayi te koleka owana.
Peut-être a-t-il manqué le train.	Tango mosusu azangaki engbunduka.
Puis-je savoir où vous travaillez ?	Nakoki koyeba esika bosalaka?
Les progrès de l'homme sont sans limites.	Bokeyi liboso ya moto ezali na ndelo te.
Je vous demande pardon. Je ne pense pas que cela soit votre siège.	Nasengi yo bolimbisi. Na ndimi te ete oyo wana ezala kiti nayo.
Tom aurait dû manger plus.	Tom asengelaki koliya mwa mingi.
C'est de la faute de Tom.	Tom nde azali na libunga.
Nous mangeâmes des fruits frais après le déjeuner.	Toliyaka mbuma ya sika sima na biso koliya biloko na tongo.
Il n'est rien d'autre qu'un enfant.	ajali naye mobele mwana.
Mets de l'eau dans ton vin.	Tiya mayi na vino mwayo.
C'était pour rire ?	Ezalaki kaka pona toseka?
Je veux fonder une famille.	Nalingi kobandisa libota.
Quel est ton restaurant de fast food préféré?	Osepelaka na restaurant nini?
Un café, ça te dirait ?	Café, oko linga?
Je viens juste d'apprendre que mon hôtel favori a fait faillite.	Nawuti koyoka ete hotel nalingaka mingi ekweyi.
Un jour tu comprendras.	Mokolo moko oko sosola.
Je me rappelle l'avoir rencontrée quelque part.	Nazali kokanisa, namona ye esika moko.
Reste hors de ma vue !	Zala libanda ya bomoyi na ngayi!
Combien y a-t-il de sortes ?	Ezalina motindo boni?
J'ai dansé.	Na binaki.
S'il a eu dix sur dix à l'examen, c'est parce qu'il a triché.	Soki alongaki zomi likolo ya zomi na examen, ezali po ayibaki.
Tom a gardé son chapeau sur la tête.	Tom abatelaki ekoti naye na moto.
Je n'ai jamais dit cela à personne auparavant.	Nayino na lobela yango epayi moto te.
La pire amie et ennemie n'est nulle autre que la mort.	Moninga mpe monguna ezali eloko mosusu te kasi liwa.
Femme au volant, mort au tournant.	Mwasi azali ko kumba motuka, liwa wzali pembeni.
« J'ai rêvé de toi, hier. » « Sérieux ? Et je faisais quoi ? »	« Na lotaki yo, lobi. » « Yasolo ? Bongo nazalaki kosala nini? »
Fermez la trappe.	Kanga motambo.
Tu aimerais ça.	Okolinga yango.
Je n'arrive pas à croire que nous ayons finalement terminé le projet.	Nazo ndima te ete tokomi nako silisa mwango.
La campagne a été une réussite et il a gagné les élections.	Campagne ezalaki elonga mpe alongi na maponami.
Je dois m'occuper de quelque chose.	Na sengeli kotala eloko moko.
Je pense que sa proposition mérite réflexion.	Na banzi ete oyo ye alobi elongobani ete tokanisa na tina nayango.
Je vais corriger ceci.	Nako bongisa oyo.
Nous vivons à proximité de la grande bibliothèque.	Tovandaka zongazonga na ebombelo monene ya ba buku.
Je vais vous en montrer quelques-uns.	Nako lakisa bino moko kati na bango.
Nous devons mettre à jour notre méthode pédagogique.	Tosengeli kozongisa sika lolenge nabiso ya kotangisa.
Les prix sont élevés ces jours-ci.	Talo emati mikolo oyo.
Quand est-ce que t’as acheté ce portable ?	Osombaki telephone oyo tango nini?
Parfois, je souhaiterais être un petit oiseau.	Tango mosusu na tombela ete nazala mwa ndeke moke.
Cela est tellement gênant.	Yango ezali penza na mitungisi.
Un homme avec le ventre plein pense que personne n'a faim.	Moto oyo atondi akanisaka lokola motu mususu aza na nzala te.
J'aimerais vous donner un conseil.	Na kolinga kopesa yo mwa toli.
Tom ne m'a pas vraiment manqué.	Nakanisaki penza Tom te.
Nous vous avons gardé un siège juste là.	To bombelaki yo esika kaka wana.
Ce n'est pas quelque chose que je sais faire.	Ezali eloko oyo nayebi kosala te.
Ils réfléchissent trop.	Ba banzaka mingi.
Dans cette bibliothèque, il y a beaucoup de livres.	Na ebombelo yaba buku oyo, mikanda mizali mingi.
Je n'ai même pas de petit ami.	Nazali ata na moniunga ya mobali te.
Tu t'aimes.	Omilingi.
L'adolescent-pilote autour du monde est mort.	Elenge mokumbi mpepo ya mokili akufi.
Y a-t-il quelque chose de nouveau au menu ?	Eloko ya sika ezali na menu?
Ça ne sera pas facile.	Ekozala pete te.
Pourriez-vous me réveiller demain matin à sept heures moins le quart, s'il vous plaît ?	Okoki kolamusa ngayi lobi na tongo na ngonga ya motoba ba minuti tuku mineyi na mitano, na sengi nayo ?
Un voyage de mille milles commence par un simple pas.	Mobembo yaba kilometres koto na koto ebandaka mobele na lokolo moko.
Au son du sifflet, le bateau commença à s'éloigner du port.	Soki piololo ebeti, masuwa ebandi ko tangwa mosika na libongo.
Si tu te trouves piégé par un ours dans la forêt, ta meilleure option est de te mettre au sol et de faire le mort.	Soki ozwami na motambo ya ngombolo na zamba, likambo ya malamu yako sala ejali komibwaka na mabele mpe kosala lokola okufi.
Mon oncle Bob a réparé mon horloge et maintenant elle indique l'heure correctement.	Noko nangayi Bob abongisi saa mpe sikaawa ezali kopesa tango malamu.
L'âme qui désire que Dieu se rende entièrement à elle, doit se rendre entièrement à lui sans rien garder pour elle.	Moloko moye ejali na posa ete Nzambe amipesa mobimba naye, esengeli emipesa mobimba naye kozanga kobombela ye eloko moko.
Allez, Joe. Ne joue pas au pantouflard. Viens à la fête avec nous ! Quand tu as dit à Nancy qu'elle était si grosse, tu as vraiment appuyé là où ça fait mal.	Kenda, Joe. Kolinga komisala goyi goyi te. Yaka elongo nabiso na lipati! Tango olobelaki Nancy ete azali na zemi, osimbaki benza esika esalaka pasi.
La logique et le bon sens suggèrent que la Russie, l'Union Européenne et les États-Unis doivent agir ensemble.	Bosembo mpe bomoto malamu esengi ete Russie, Lisanga ya bikolo ya Eropa mpe Lisanga ya Bikolo ya America basala elongo.
Vous avez notre permission pour inclure notre logiciel à condition de nous fournir une copie du produit final.	Bozwi ndikisa yako tiya logiciel na biso kaka soki boko pesa piso eteni ya mbuma ya mosala tango eko sila.
George Bush est le 41e président des États-Unis.	George Bush azali tata mokambi ya tuku minayi na moko ya ekolo America.
De mon côté, je ne voyage pas pour aller quelque part. Je voyage pour voyager. Le principal est de se bouger.	Na ngambo nangayi, nazali kosala mobembo te mpona kokende esika moko. Nazo sala mobembo kaka pona sala. Ya motuya ezali koningana.
Un nom respectable - monnaie au cours vraiment substantiel qui se négocie admirablement pour qui comprend comment la présenter.	Mbongo oyo ezali lisusu na motuya te elekaka malamu epayi ya oyo nani ayebi lolenge yako talisa yango.
Dan a vendu de la drogue à un dangereux trafiquant de drogue.	Dan atekisi likaya epayi ya mosali mombongo ya makaya ya mabe.
C'est l'humanité qui a perdu l'homme. Dire que cet idiot-là aurait pu être le plus heureux des animaux, s'il avait su se tenir tranquille. Mais non... il a inventé la civilisation.	Molongo mobimba nde ebungisi moto. Koloba ete zoba wana alingaki kozala nyama ya esngo koleka basusu, soki ayebaki komivandisa kimya. Kasi te... abandisaki lolenge ya kobika.
Ma carte de crédit a été rejetée par le distributeur de billets.	Carte na ngayi ya banque eboyamaki na distributeur ya bongo.
Ce n'est pas comme si nous devions vendre des trucs, tu vois ?	Ezali te lokola nde tosengeli kotekisa biloko, omoni?
Une entente parfaite entre la théorie et la pratique est quelque chose de rare.	Boyakani mobongibe katikati ya maloba pamba mpe mosala ezali eloko moko emonanaka penza te.
Compter les moutons aide à s'endormir.	Kotanga ba meme esungaka mpona kolala.
Mon thérapeute m'a dit de me rendre dans un bar et d'entamer une conversation avec quelqu'un qui me soit tout à fait étranger.	Monganga na ngai alobi na ngai ete nakende na nganda ya masanga mpe nasolola na moto azali mopaya epai na ngai.
Tu dois t'agenouiller à mes pieds, me baiser la main et jurer que je suis un ange.	Osengeli kofukama na makolo na ngai, opepwa ngai na maboko mpe okata ndayi ete nazali anzelu.
Je n'oublierai jamais de garder dans mon cœur une douce pensée pour ma chère professeur.	Nakobomba na motema na ngai libanzo ya malamu mpo na molakisi na ngai ya mwasi.
Un homme qui peut conduire prudemment en embrassant une jolie dame ne consacre tout simplement pas au baiser l'attention qu'il mérite.	Mobali oyo akoki kokumba na bokebi nyonso na ntango azali kopepwa mwasi ya bonzenga azali kopesa soki moke te lokumu oyo lipwepwe esengeli na yango.
Elle sortit la bouteille de champagne qu'elle avait gardée pour un événement particulier.	Abimisi molangi ya champagne oyo abombaka mpo na likambo moko songolo.
Ce qui est permis à Jupiter n'est pas permis au bœuf.	Oyo epesami na mokonzi epesami na mongamba te.
J'aimerais que les passants arrêtent de jeter leurs canettes vides et autres ordures sur le sentier de montagne.	Nalingi ete baleki nzela batika kobwaka milangi ya mpamba mpe bosoto misusu na nzela ya ngomba.
Dans le système judiciaire américain, il y a douze personnes dans un jury.	Na lolenge ya mibeko na america, ezalaka na bato zomi na mibale na lisanga ya bazuzi mpo na esambiselo.
Supposer que la justice fasse cela, c'est détruire le principe de son existence qui est la chose elle-même.	Kanisa ete mibeko nde esali bongo, ezali kobebisa mobeko ya bozalisi mambi ma mibeko maye mazali eloko ya motuya.
Merci pour votre généreuse invitation mais nous ne voulons pas abuser de votre hospitalité.	Botondi mpo na bobengisi na bino kasi tolingi kolekisa ndelo te na boyambi bolamu bopesi biso.
La mutuelle de l'entreprise couvre l'ensemble des frais médicaux.	Lisanga ya kompani ekofuta mbongo nyonso ya lopitalo.
En Inde, la vache est un animal sacré.	Na India, ngombe ezali nyama ya ekila.
Le nombre de personnes sur Facebook est supérieur à la population des États-Unis d'Amérique.	Motuya ya bato na Facebook eleki motuya ya bato banso ya mboka America.
Dans ma vie quotidienne, je prends soin de mon corps de diverses manières afin de ne pas endommager ma santé.	Na bomoi na ngai ya mokolo na mokolo, nabatelaka nzoto na ngai lolenge ebele mpo ete nabebisa bokolongono bwa nzoto na ngai te.
L'attitude du tribunal envers les jeunes criminels est différente de celle qu'il a envers les criminels adultes.	Lolenge ya kosalela ya bazuzi liboso ya babuki mibeko ya bilenge ekeseni na oyo ya babuki mibeko ya mikolo.
L'ensemble des nombres réels est un exemple typique de corps.	Lisanga ya mituya ya solo ezali ndakisa ya nzoto.
A cheval donné on ne regarde pas les dents.	Eloko ya kokabela, bayimaka te.
Un capitaine est chargé de ce bateau et de son équipage.	Mokumbi masuwa azali na bokonzi likolo ya masuwa mpe ya basali o kati ya masuwa.
Finalement, en 1314, ces jeux devinrent si violents et dangereux que le roi Edouard II créa une loi.	Na nsuka, na mobu nkoto yoko na nkama isato ya zomi na minei (1314), masano myango makomaki makasi mingi mpe mabe ete mokonzi Edouard wa babale (II) akelaki mobeko na ntina na yango.
C'est seulement quand je ne peux pas dormir la nuit que le tic-tac de l'horloge devient assez bruyant pour m'embêter.	Kaka na ngonga nazangi mpongi na butu nde tiki-taki (tic tac) ya montele monene ekomaka makelele mpo na kotungisa ngai.
Nous ne serons jamais trop prudents pour faire fonctionner une centrale nucléaire.	Tokozala ata mokolo moko te na ekenge mingi mpo na kosalisa ndako  bakelaka bombi (centrale nucléaire).
Il m'adressa un courrier pour m'informer que son élevage de poulets ferait faillite tôt ou tard.	Atindelaki ngai monkanda mpo na koyebisa ngai ete etonga ya basoso na ye ekokangama atandele.
Nous avons tendance à penser que notre temps nous appartient seulement le dimanche et pendant les vacances.	Tokanisaka ete ntango na biso ezalaka kaka mokolo ya lomingo mpe na ntango ya bopemi.
Les enfants commencent par aimer leurs parents ; après un temps ils les jugent ; rarement, voire jamais ils ne leur pardonnent.	Bana babandaka liboso kolinga baboti na bango; na nsima bakosambisa bango; ntango mosusu,  okebi te mpo na libela balimbisaka bango te.
En regardant les fleurs j'ai pensé soudain que les êtres humains aussi avaient un bon côté. Ce sont eux qui ont découvert la beauté des fleurs et ce sont aussi les humains qui peuvent l'apprécier.	Na botali ba fololo, nabanzi na mpwasa ete bato na mokili mpe bazalaka mpe na bolamu. Ezali bango nde bamonaki liboso bonzenga ya ba fololo mpe ezali lisusu bato nde bakoki kolula yango.
J'ignore s'il est doté de pouvoirs spéciaux ou pas, mais il est sans doute plus fort qu'un humain normal.	Nayabi te soki azali na nguya mosusu ya lolenge mosusu to te, kasi azali solo na makasi koleka oyo moto esengeli azala na yango.
Ces feuilles vertes deviennent rouges ou jaunes à l'automne.	Nkasa iye ya langi ya mpondu ikomaka motane to mpe na langi ya mosaka na automne.
Ce passage est le plus technique de ce morceau de piano. J'ai mis beaucoup de temps avant de savoir le jouer.	Esika oyo ezali makasi koleka eteni ya kobeta piano oyo. Ezwaki ngai tango mingi yambo nayeba kobeta yango.
Je mis mes doigts dans mes oreilles pour éviter ces bruits terribles.	Natie misapi na matoyi na ngai pona koboya koyoka makele oyo ya mabe.
Une langue acérée est plus dangereuse qu'un couteau acéré.	Monoko mabe ezali mabe mingi koleka mbeli ya mino makasi.
Le propriétaire de ce bar ne vend jamais d’alcool à crédit.	Mokolo ya nganda oyo adefisaka masanga ata mokolo moko te.
Trouver une solution qui fonctionnait fut un processus expérimental.	Kozwa eyano oyo esengelaki ezalaki lolenge ya komeka.
Jane doit arrêter de céder à son désir de chocolat.	Jane esengeli atika kolandaka mposa na ye ya sokola (chocolat).
La première fois que tu rencontres une personne, tu devrais être attentive à la proximité avec laquelle tu te tiens par rapport à elle.	Mbala ya liboso okutani na moto, esengeli ozala keba na lolenge ya komipesa na ye.
Manger de la glace me met toujours de bonne humeur.	Kolia alaska etiyaka ngai ntango nyonso na nsai.
Le crime aurait été parfait si le voleur n'avait pas oublié d'essuyer ses empreintes digitales.	Mbeba ekokaki koleka malamu mingi soki moyibi abosanaki te kopangusa bilembo ya misapi mya ye ya mboko.
La statue de la liberté est un symbole de l'Amérique.	Ekeko ya bonsomi ezali elembo ya mboka America.
M. Johnson a subitement changé d'avis et a signé le contrat.	M. Johnson abongoli makanisi na mpwasa mpe atie mokoloto na contrat.
Un coup de tonnerre soudain le réveilla.	Nkake elamusaki ya na mpwasa.
Nous avons actuellement aux États-Unis plus de gardes de sécurité pour les riches que de services de police pour les pauvres.	Tozali na ngonga oyo okati ya America na ba sinzili oyo babatelaka ba mvuama ebele koleka ba pulusu pona babola.
L'état ne devrait pas supprimer des droits civiques, il devrait les protéger !	Mbula matari esengelaki te alongola bosengeli mya bayi mboka, esengelaki nde abatela myango !
Mario, arrête de me traiter d'homo! Je suis hétéro !	Mario, tika kozwa ngai lokola pede! Nazali mobali !
As-tu conscience du rapport entre la fumée du tabac et le cancer du poumon?	Ozali na bososoli na ya maye mazali kati ya milinga ya likaya mpe bokono ya cancer ya poumon?
Les données à discuter ci-dessous ont été collectées de la manière suivante.	Ba nsango tokolobela na nse awa mazwamaki na lolenge loye.
De nombreuses personnes ne le comprennent jamais et terminent avec un emploi au gouvernement. Comment ils font ça restera toujours un mystère.	Bato mingi basosolaka yango ata mokolo moko te mpe basilaka na kozwa mosala okati ya misala mya mbulamatari. Ndenge nini basalaka yango etikalaka kaka libombeli.
